date,AAPL,SPY
2024-01-22,191.7198486328125,469.2929382324219
2024-01-23,192.99539184570312,470.66168212890625
2024-01-24,192.3230133056641,471.1761474609375
2024-01-25,191.99671936035156,473.7388000488281
2024-01-26,190.26629638671875,473.1369934082031
2024-01-29,189.58399963378903,476.8839416503906
2024-01-30,185.93533325195312,476.5151062011719
2024-01-31,182.3360595703125,468.73968505859375
2024-02-01,184.76856994628903,474.8746032714844
2024-02-02,183.76983642578125,479.8738098144531
2024-02-05,185.5793609619141,478.1264953613281
2024-02-06,187.1812286376953,479.51458740234375
2024-02-07,187.29000854492188,483.5139465332031
2024-02-08,186.2122039794922,483.7275085449219
2024-02-09,186.97454833984375,486.523193359375
2024-02-12,185.2914276123047,486.3096008300781
2024-02-13,183.2023773193359,479.6116638183594
2024-02-14,182.3211975097656,483.97027587890625
2024-02-15,182.0341033935547,487.3094787597656
2024-02-16,180.4994659423828,484.8826904296875
2024-02-20,179.75694274902344,482.2132263183594
2024-02-21,180.5093994140625,482.6500244140625
2024-02-22,182.53903198242188,492.6386413574219
2024-02-23,180.7074279785156,492.9784240722656
2024-02-26,179.3609161376953,491.1728820800781
2024-02-27,180.8163146972656,492.0853576660156
2024-02-28,179.6183319091797,491.43499755859375
2024-02-29,178.95497131347656,493.2016906738281
2024-03-01,177.87582397460938,497.8320007324219
2024-03-04,173.36111450195312,497.2981567382813
2024-03-05,168.43057250976562,492.3280944824219
2024-03-06,167.4404754638672,494.8227844238281
2024-03-07,167.32167053222656,499.734619140625
2024-03-08,169.03448486328125,496.7351684570313
2024-03-11,171.03443908691406,496.3079833984375
2024-03-12,171.5096435546875,501.6470031738281
2024-03-13,169.43051147460938,500.8606262207031
2024-03-14,171.2819366455078,499.87054443359375
2024-03-15,170.90574645996094,496.4380798339844
2024-03-18,171.99481201171875,499.3885192871094
2024-03-19,174.3313446044922,502.16363525390625
2024-03-20,176.8956298828125,506.8083190917969
2024-03-21,169.6681365966797,508.4832763671875
2024-03-22,170.569091796875,507.5191955566406
2024-03-25,169.15330505371094,506.1170654296875
2024-03-26,168.02464294433594,505.1822509765625
2024-03-27,171.58885192871094,509.4276428222656
2024-03-28,169.77703857421875,509.330322265625
2024-04-01,168.3414306640625,508.4442138671875
2024-04-02,167.16326904296875,505.2115478515625
2024-04-03,167.96522521972656,505.7664489746094
2024-04-04,167.14344787597656,499.5930786132813
2024-04-05,167.89590454101562,504.8121948242187
2024-04-08,166.77716064453125,505.0945739746094
2024-04-09,167.98500061035156,505.6788330078125
2024-04-10,166.11378479003906,500.6153869628906
2024-04-11,173.3016815185547,504.3935546875
2024-04-12,174.7967071533203,497.4313354492187
2024-04-15,170.9750213623047,491.199462890625
2024-04-16,167.69790649414062,490.30364990234375
2024-04-17,166.33160400390625,487.40185546875
2024-04-18,165.3811492919922,486.3989562988281
2024-04-19,163.3614044189453,482.1535034179687
2024-04-22,164.19305419921875,486.5937194824219
2024-04-23,165.24252319335938,492.3678894042969
2024-04-24,167.34146118164062,492.1341857910156
2024-04-25,168.20281982421875,490.2646484375
2024-04-26,167.6186981201172,494.909423828125
2024-04-29,171.7769775390625,496.6620788574219
2024-04-30,168.6384735107422,488.7943420410156
2024-05-01,167.6186981201172,487.2071533203125
2024-05-02,171.3116455078125,491.76422119140625
2024-05-03,181.558837890625,497.85986328125
2024-05-06,179.9054718017578,503.0011291503906
2024-05-07,180.5885772705078,503.55615234375
2024-05-08,180.92523193359375,503.6047668457031
2024-05-09,182.7370452880859,506.5065612792969
2024-05-10,181.47792053222656,507.1589965820313
2024-05-13,184.6802215576172,507.2270812988281
2024-05-14,185.82034301757812,509.5543212890625
2024-05-15,188.09068298339844,515.8641357421875
2024-05-16,188.2096405029297,514.8026733398438
2024-05-17,188.2393798828125,515.5427856445312
2024-05-20,189.3993377685547,516.1368408203125
2024-05-21,190.69810485839844,517.4025268554688
2024-05-22,189.26052856445312,515.912841796875
2024-05-23,185.2750701904297,512.14453125
2024-05-24,188.34841918945312,515.5331420898438
2024-05-28,188.35836791992188,515.893310546875
2024-05-29,188.65576171875,512.28076171875
2024-05-30,189.6471710205078,508.88238525390625
2024-05-31,190.5989532470703,513.5175170898438
2024-06-03,192.36363220214844,513.9360961914062
2024-06-04,192.6809234619141,514.5105590820312
2024-06-05,194.18785095214844,520.6255493164062
2024-06-06,192.8097991943359,520.6159057617188
2024-06-07,195.1990966796875,519.9829711914062
2024-06-10,191.4614715576172,521.5895385742188
2024-06-11,205.37098693847656,522.8457641601562
2024-06-12,211.2401428222656,527.139892578125
2024-06-13,212.40008544921875,528.2012939453125
2024-06-14,210.6651153564453,528.522705078125
2024-06-17,214.80921936035156,532.7291259765625
2024-06-18,212.4496612548828,534.0826416015625
2024-06-20,207.87924194335935,532.6317749023438
2024-06-21,205.70806884765625,531.9176635742188
2024-06-24,206.35247802734375,530.1885986328125
2024-06-25,207.2745056152344,532.2302856445312
2024-06-26,211.41860961914065,532.8945922851562
2024-06-27,212.2613067626953,533.734619140625
2024-06-28,208.81117248535156,531.6343383789062
2024-07-01,214.88851928710935,532.728515625
2024-07-02,218.3782958984375,536.3135986328125
2024-07-03,219.64732360839844,538.7070922851562
2024-07-05,224.3961639404297,541.8134155273438
2024-07-08,225.8634490966797,542.4386596679688
2024-07-09,226.7160797119141,542.9661254882812
2024-07-10,230.97914123535156,548.3389282226562
2024-07-11,225.61561584472656,543.61083984375
2024-07-12,228.5601043701172,547.039794921875
2024-07-15,232.3869781494141,548.5440673828125
2024-07-16,232.8033447265625,551.7969970703125
2024-07-17,226.9143829345703,544.0601806640625
2024-07-18,222.25473022460935,539.8792114257812
2024-07-19,222.3836212158203,536.2940673828125
2024-07-22,222.03662109375,541.8232421875
2024-07-23,223.0775909423828,540.973388671875
2024-07-24,216.66314697265625,528.7135009765625
2024-07-25,215.62217712402344,525.958740234375
2024-07-26,216.0881500244141,531.8492431640625
2024-07-29,216.3657684326172,532.1619262695312
2024-07-30,216.92092895507812,529.4656982421875
2024-07-31,220.1727600097656,538.0719604492188
2024-08-01,216.48471069335935,530.452392578125
2024-08-02,217.9718475341797,520.5762329101562
2024-08-05,207.47279357910156,505.4150390625
2024-08-06,205.4502868652344,510.0748291015625
2024-08-07,208.01805114746097,506.6654357910156
2024-08-08,211.47808837890625,518.378173828125
2024-08-09,214.38294982910156,520.6640625
2024-08-12,215.91146850585935,520.9376831054688
2024-08-13,219.62364196777344,529.5047607421875
2024-08-14,220.07029724121097,531.1752319335938
2024-08-15,223.0479431152344,540.2797241210938
2024-08-16,224.3680877685547,541.4910278320312
2024-08-19,224.20925903320312,546.66845703125
2024-08-20,224.8246612548828,545.7794799804688
2024-08-21,224.71548461914065,547.6551513671875
2024-08-22,222.859375,543.3568725585938
2024-08-23,225.1521759033203,549.1302490234375
2024-08-26,225.4896545410156,547.8211669921875
2024-08-27,226.3333282470703,548.573486328125
2024-08-28,224.8047790527344,545.3887939453125
2024-08-29,228.08026123046875,545.4375610351562
2024-08-30,227.2961273193359,550.6443481445312
2024-09-03,221.1124725341797,539.3126831054688
2024-09-04,219.2067718505859,538.2088012695312
2024-09-05,220.7253875732422,536.899658203125
2024-09-06,219.177001953125,527.8636474609375
2024-09-09,219.26632690429688,533.7737426757812
2024-09-10,218.47227478027344,536.0986938476562
2024-09-11,221.0032958984375,541.5985107421875
2024-09-12,221.1124725341797,546.1604614257812
2024-09-13,220.8444671630859,549.0128784179688
2024-09-16,214.71046447753903,549.8238525390625
